id_hex,id,rom,name,kind,race,race_name,level,hp,f04,str,int,mag,vit,agi,luk,f0c,f0d,f0e,f11,f1a,f1c,skills,f30
0x01b,27,0x0819d594,Ame-no-Uzume,,4,Megami,21,118,112,6,9,10,5,6,7,127,131,22 00 00,44462e2f90ffff0210,255,912f06005a22,17b 1bb 1a7 17f 193 1bb,0000c30f810f4601cf071f0100000000000000000000
0x01c,28,0x0819d5f4,Ardha,,5,Deity,75,999,393,28,17,20,15,20,22,127,138,0f 01 03,441a127e03ffff0a54,255,939604003812,17b 1c5 199 01b,0000e30b5c0c530d4601cf071f010000000000000000
0x01d,29,0x0819d654,Virochana,,5,Deity,69,791,450,19,20,25,13,17,10,127,128,01 05 05,03127721ff37ff0554,241,939002003812,1ce 17c 1c7 01b 190 1bd 1a3,0000760632064601cf071f0100000000000000000000
0x01e,30,0x0819d6b4,Kalki,,5,Deity,65,873,330,21,14,19,14,16,8,127,134,0f 01 05,1a124d03ffffff1454,110,938c0f003812,184 1c5 186,0000e30b5c0c530d4601cf071f010000000000000000
0x01f,31,0x0819d714,Baal,,5,Deity,58,910,274,19,11,16,16,13,10,127,130,1d 00 03,0b103023ff38ff0554,255,938804003812,1a9 01b 1c5,00004d0a9e090500c30fcb1046013c0a2a0100000000
0x020,32,0x0819d774,Atavaka,,5,Deity,55,741,333,19,15,20,12,10,5,127,134,0e 00 07,191c147603ffff0c54,255,938208003812,17b 198 1a9 188,0000310ec30f05004d0a9e0900000000000000000000
0x021,33,0x0819d7d4,Odin,,5,Deity,48,579,206,18,13,13,10,10,8,127,134,22 00 00,1007291affffff0f50,255,937405003812,183 01b 1a0 17c 1cd,0000c30f810f4601cf071f0100000000000000000000
0x022,34,0x0819d834,Ashtar,,5,Deity,40,540,79,17,6,6,13,11,9,127,136,24 00 00,917d3887ffffff0810,255,916402005a12,17b 190 1bf 198 01b,0000310ec30f05002c0f9b104601cf071f0100000000
0x023,35,0x0819d894,Horus,,5,Deity,37,352,138,10,10,12,10,10,8,127,128,18 04 00,1c292f3623ffff0d10,255,915e02005a12,1b4 1c5 192,0000760632069c07540a000000000000000000000000
0x024,36,0x0819d8f4,Thor,,5,Deity,34,401,79,15,7,7,11,9,7,127,136,21 00 00,090b487dffffff0a10,255,915805005a00,1a1 01b 1c5,00006e0d6108840e240a000000000000000000000000
0x025,37,0x0819d954,Indra,,5,Deity,27,253,39,14,5,4,7,12,7,127,136,21 04 00,090b4821ffffff0a10,255,914a05005a00,17d 1cd 1a2 1c3,00006e0d6108840e240a000000000000000000000000
0x026,38,0x0819d9b4,Barong,,6,Avatar,51,673,184,20,10,14,9,15,8,127,130,13 01 07,4b49686dff32ff0b55,231,937007003811,1a9 1c7 1cd,0000d50d61086d019c07540a00000000000000000000
0x027,39,0x0819da14,Genbu,,6,Avatar,45,770,132,19,10,10,16,6,7,127,138,13 00 00,1c1b4c14ffffff0c50,255,93650a003812,18b 1cd 1af,0000d50d61086d019c07540a00000000000000000000
0x028,40,0x0819da74,Anubis,,6,Avatar,41,468,135,13,10,12,10,10,8,127,138,1d 00 00,191c5c37ffffff0a10,255,915e08005a11,17b 1a5 1ac 192,00004d0a9e090500c30fcb1046013c0a2a0100000000
0x029,41,0x0819dad4,Narasimha,,6,Avatar,35,463,67,16,6,6,11,12,6,127,130,1d 00 00,686d4825ffffff0a10,255,915302005a00,1a3 1c3 190 1cd 1a8,00004d0a9e090500c30fcb1046013c0a2a0100000000
0x02a,42,0x0819db34,Sphinx,,6,Avatar,29,256,88,10,10,10,7,9,5,127,131,1d 00 00,6d68143536ffff0a10,255,914808005a20,192 1ae 17c 1cd 188 192,00004d0a9e090500c30fcb1046013c0a2a0100000000
0x02b,43,0x0819db94,Nandi,,6,Avatar,25,204,82,11,8,12,5,4,7,127,135,1d 00 00,7d8695382dffff0510,255,914107005a03,1a3 1cd 1a0 17c,00004d0a9e090500c30fcb1046013c0a2a0100000000
0x02c,44,0x0819dbf4,Byakko,,7,Holy,42,527,89,15,7,7,11,14,10,127,130,1d 00 00,68493d4cffffff0a10,255,915307005a03,1ac 1bd 19c 18c,00004d0a9e090500c30fcb1046013c0a2a0100000000
0x02d,45,0x0819dc54,Pabilsag,,7,Holy,32,419,94,14,9,10,12,6,4,127,135,1d 01 00,712a3536ffffff0810,255,914408005a20,1aa 1ad 1c5 18e 189,00004d0a9e090500c30fcb1046013c0a2a0100000000
0x02e,46,0x0819dcb4,Bastet,,7,Holy,28,215,78,8,7,10,6,12,7,127,131,1d 04 00,6d991734ffffff0510,255,913e06005a20,1a9 192 19f 1a1,00004d0a9e090500c30fcb1046013c0a2a0100000000
0x02f,47,0x0819dd14,Apis,,7,Holy,20,195,46,9,4,8,8,3,10,127,135,1d 00 00,7d8695972effff0210,255,913207005a03,17b 1ad 192,00004d0a9e090500c30fcb1046013c0a2a0100000000
0x030,48,0x0819dd74,Unicorn,,7,Holy,16,125,39,7,6,7,5,5,8,127,135,1d 00 00,7d1b47863dffff0a10,255,912c07005a03,1c0 1a4 18c 01b 1cd,00004d0a9e090500c30fcb1046013c0a2a0100000000
0x031,49,0x0819ddd4,Heqet,,7,Holy,12,100,35,6,5,9,5,4,5,127,131,1d 00 00,453b3a2e33ffff0210,255,912606005a03,1b1 18a 1a1,00004d0a9e090500c30fcb1046013c0a2a0100000000
0x032,50,0x0819de34,Salamander,,8,Element,32,282,85,12,8,9,10,10,9,127,138,18 00 00,01033d34ffffff0110,255,913507005a12,18e 1c3 1b7 1cd 199 01b,0000760632069c07540a000000000000000000000000
0x033,51,0x0819de94,Undine,,8,Element,30,206,113,6,8,15,9,8,8,127,131,07 00 00,2d2f0917ffffff0110,255,913304005a21,17f 1cd 1a0 17c 01b 1a6,00006e0d61080500eb0a610800000000000000000000
0x034,52,0x0819def4,Sylph,,8,Element,28,146,88,6,11,10,5,12,6,127,131,07 00 00,0e0d0f3b16ffff0110,255,913104005a21,190 1c5 1ae,00006e0d61080500eb0a610800000000000000000000
0x035,53,0x0819df54,Gnome,,8,Element,26,212,73,10,9,9,9,4,5,127,138,2d 00 00,1b0f3228ffffff0210,255,912e05005a00,1a7 01b 1ba,0000310ec30f05004d0a9e094601cf071f0100000000
0x036,54,0x0819dfb4,Flaemis,,8,Element,12,74,24,7,6,8,6,7,6,127,130,18 00 00,0002015affffff0210,255,911d02005a03,1ae 1c6 17d 1b8 01b 193,0000760632069c07540a000000000000000000000000
0x037,55,0x0819e014,Aquans,,8,Element,11,59,26,5,6,10,5,6,5,127,131,07 00 00,2b2e0a3359ffff0210,255,911c03005a03,17b 188 17b 1cd 193,00006e0d61080500eb0a610800000000000000000000
0x038,56,0x0819e074,Aeros,,8,Element,10,44,20,4,8,7,3,8,4,127,131,07 00 00,0c0d0e3134ffff0210,255,911b04005a03,181 17b 1c7 192,00006e0d61080500eb0a610800000000000000000000
0x039,57,0x0819e0d4,Earthys,,8,Element,9,71,18,8,4,4,8,3,4,127,138,2d 00 00,822425262cffff0210,255,911a05005a03,17b 01b 190 01b 193,0000310ec30f05004d0a9e094601cf071f0100000000
0x03a,58,0x0819e134,Shiva,,9,Fury,72,920,332,23,15,20,14,19,20,250,138,27 05 07,120b075cffffff1654,109,939f0f003812,190 1ce 17a,0000320b4e080500310ec30f00000000000000000000
0x03b,59,0x0819e194,Susano-o,,9,Fury,61,988,290,22,13,18,16,16,5,250,136,21 01 07,0b0f498dffffff0f54,79,939b08003812,192 18e 1a7 183,00006e0d6108840e240a000000000000000000000000
0x03c,60,0x0819e1f4,Seiten Taisei,,9,Fury,48,687,186,14,10,13,14,15,6,250,136,01 01 00,0d0f884bffffff0b50,255,938302003812,194 17d 19f 1cd 198 17d 194,7d01760632064601cf071f0100000000000000000000
0x03d,61,0x0819e254,Chernobog,,9,Fury,39,465,128,19,8,10,7,10,7,250,134,16 00 00,1a92104dffffff0f10,255,916f05005a12,19a 180 1c5 1a7 1b5 189,00004d0a9e096d01840e240a00000000000000000000
0x03e,62,0x0819e2b4,Ares,,9,Fury,30,474,73,14,6,5,16,7,4,250,134,24 00 00,49912426ffffff0a10,255,915b02005a12,17b 1c6 192,0000310ec30f05002c0f9b104601cf071f0100000000
0x03f,63,0x0819e314,Ananta,,10,Dragon,61,937,237,21,15,15,18,10,9,250,130,13 05 08,807e6a5995ffff0254,231,938404003812,17b 1a3 1cd 198,0000d50d61086d019c07540a00000000000000000000
0x040,64,0x0819e374,Rahab,,10,Dragon,54,999,185,18,10,13,20,10,9,250,138,13 00 08,80687d21ffffff0549,232,938005003812,1c3 1a8 1af,0000d50d61086d019c07540a00000000000000000000
0x041,65,0x0819e3d4,Itzamna,,10,Dragon,50,651,208,15,12,16,12,10,10,250,129,18 00 00,4b035a3dffffff0850,255,937802003812,17d 19d 17a 1ba 005 1a3 01b,0000760632069c07540a000000000000000000000000
0x042,66,0x0819e434,Seiryuu,,10,Dragon,43,576,111,16,8,9,12,11,9,250,130,13 00 00,4b80680bffffff0a10,255,916a04005a12,194 17d 1c4 1bf 17f,0000d50d61086d019c07540a00000000000000000000
0x043,67,0x0819e494,Quetzalcoatl,,10,Dragon,39,522,94,16,8,8,12,9,8,250,130,13 00 00,684e803a34ffff0a10,255,916205005a11,18a 19d 17b 1c5 184 1a1 1c5,0000d50d61086d019c07540a00000000000000000000
0x044,68,0x0819e4f4,Baek Yong,,10,Dragon,36,464,85,18,7,8,10,7,8,250,130,13 00 00,4b688035ffffff0810,255,915c05005a03,1b3 188 1c2 1cd,0000d50d61086d019c07540a00000000000000000000
0x045,69,0x0819e554,Maya,,10,Dragon,34,405,90,12,6,10,12,6,10,250,129,13 00 00,2d3037333435ff0210,255,91580a005a03,1b7 1be,0000d50d61086d019c07540a00000000000000000000
0x046,70,0x0819e5b4,Kali,,11,Lady,65,967,319,26,12,18,11,19,11,250,131,06 06 07,1a44507e49ffff1854,207,939908003820,184 01b 1c4 01b,00002c0f9b104601cf072a0100000000000000000000
0x047,71,0x0819e614,Ishtar,,11,Lady,56,682,398,9,13,25,14,14,7,250,133,0e 01 05,170f0a213037ff0554,255,938f09003821,17d 190 1bf 198 1c5,0000310ec30f05004d0a9e0900000000000000000000
0x048,72,0x0819e674,Durga,,11,Lady,47,600,206,17,8,15,10,12,8,250,131,24 06 00,8d1a5b21ffffff0a50,255,937c08003820,1a2 1c5 185 01b,0000310ec30f05002c0f9b104601cf071f0100000000
0x049,73,0x0819e6d4,Kikuri-hime,,11,Lady,38,285,190,7,13,15,7,8,10,250,131,22 00 00,30173705ffffff0a10,255,916903005a21,186 188 1c4 1ab 1bb,0000c30f810f4601cf071f0100000000000000000000
0x04a,74,0x0819e734,Hariti,,11,Lady,33,339,119,11,8,11,9,9,8,250,131,05 00 00,2d5d4744ffffff0f10,255,915e07005a20,1a8 1c4 19f 17c 01b,0000320b4e0805004d0a9e0900000000000000000000
0x04b,75,0x0819e794,Taueret,,11,Lady,26,236,99,12,9,11,6,3,7,250,131,1d 00 00,7f232f25ffffff0310,255,91500a005a21,198 17f 181 1c6 1a1,00004d0a9e090500c30fcb1046013c0a2a0100000000
0x04c,76,0x0819e7f4,Arahabaki,,12,Kunitsu,57,989,251,18,11,17,20,10,8,250,128,0e 04 07,2a1c770bff37ff0654,86,938002003800,17b 1c3 1a8 1a9 186,0000310ec30f05004d0a9e0900000000000000000000
0x04d,77,0x0819e854,Take-Minakata,,12,Kunitsu,53,888,163,21,10,10,15,14,8,250,136,18 01 05,0105148dffffff0a55,87,937902003800,198 18a 1b8 1a3 184 198,0000760632069c07540a000000000000000000000000
0x04e,78,0x0819e8b4,Okuninushi,,12,Kunitsu,50,695,200,16,14,13,13,10,9,250,136,21 05 00,092f22282d37ff0e55,77,937304003811,183 183 1a3 1ba 19a,00006e0d6108840e240a000000000000000000000000
0x04f,79,0x0819e914,Kotoshironushi,,12,Kunitsu,46,616,177,16,10,14,12,10,7,250,136,22 00 00,19142718ff3eff0553,255,936b05003800,18c 1a1 190 1c7 1a5 190,0000c30f810f4601cf071f0100000000000000000000
0x050,80,0x0819e974,Sarutahiko,,12,Kunitsu,43,574,132,14,9,10,13,10,9,250,136,01 00 00,8f1b03992dffff0c10,255,916604005a00,18e 1c5 198 1ab 18c,0000760632064601cf071f0100000000000000000000
0x051,81,0x0819e9d4,Hitokotonushi,,12,Kunitsu,35,393,143,9,13,13,12,5,5,250,136,23 00 05,190d05222899ff0212,255,915708005a00,1ab 1a1 18c 1a1 1a5 190,0000c30f810f9c07540a000000000000000000000000
0x052,82,0x0819ea34,Sukuna-Hikona,,12,Kunitsu,30,141,109,3,13,10,4,15,9,250,138,06 00 00,323b36491cffff0f10,255,914d09005a11,192 188 1a3 1ab 18c 1a3,00002c0f9b104601cf072a0100000000000000000000
0x053,83,0x0819ea94,Ouyamatsumi,,12,Kunitsu,27,309,86,12,7,10,10,5,5,250,136,2d 00 00,29838728ffffff0210,255,91470a005a00,183 183 1be 1b7 19d 1b8,0000310ec30f05004d0a9e094601cf071f0100000000
0x054,84,0x0819eaf4,Dominion,,13,Divine,52,588,211,16,12,14,13,10,8,10,145,25 01 08,121c5c1affffff0815,63,bb5302601810,1a2 1b8 1a4 183 1cd,0000310ec30f6d01f40fd70800000000000000000000
0x055,85,0x0819eb54,Virtue,,13,Divine,44,462,159,15,15,10,12,7,6,10,161,25 01 03,01851c2dff38ff06e7,242,bb4604602810,1ce 17a 01b 19a 1bd 01b,0000310ec30f6d01f40fd70800000000000000000000
0x056,86,0x0819ebb4,Power,,13,Divine,36,356,120,13,8,12,12,5,7,10,186,25 01 0b,931c7b5cffffff0ad7,46,bb3a07602010,1aa 1c9 01b,0000310ec30f6d01f40fd70800000000000000000000
0x057,87,0x0819ec14,Principality,,13,Divine,32,234,89,11,8,9,8,8,8,10,58,25 00 05,0a092f1bffffff01d6,64,bb330a604010,1b0 1c4 1cd 190 1aa 1c4 19f,7c01310ec30f6d01f40fd70800000000000000000000
0x058,88,0x0819ec74,Archangel,,13,Divine,28,224,55,10,6,6,10,8,8,10,33,25 00 05,91021b25ff2e9d04c8,32,bb2d02603810,17b 01b 188 181 1cd 191 180,c501310ec30f6d01f40fd70800000000000000000000
0x059,89,0x0819ecd4,Angel,,13,Divine,21,109,43,9,6,6,5,6,8,10,162,25 00 03,0c322e1bffffff01c7,12,bb2205606010,181 1cd 191 180 1c5,0000310ec30f6d01f40fd70800000000000000000000
0x05a,90,0x0819ed34,Morrigan,,14,Flight,38,298,112,12,8,8,9,13,8,10,35,00 01 01,93499242ffffff14d5,59,bb3508803020,1bc 1c4 01b 17b 1cd,0000310ec30f2701f40fd70800000000000000000000
0x05b,91,0x0819ed94,Macha,,14,Flight,35,240,89,10,6,7,8,15,8,10,51,10 07 09,916d7b6effff9f0cd7,43,bb3102803820,1b7 19c 1a8,00008501cd01b305b406490100000000000000000000
0x05c,92,0x0819edf4,Nemhain,,14,Flight,31,192,104,9,9,9,7,11,5,10,67,00 04 03,0d471705ffffff01e5,290,bb2b05814021,1a6 1ce 17a 1cd,0000310ec30f2701f40fd70800000000000000000000
0x05d,93,0x0819ee54,Aello,,14,Flight,25,114,81,6,5,10,5,13,5,10,35,10 04 05,6d7b0624ffff9f04c7,293,bb2303812820,17b 181 1c7 01b,00008501cd01b305b406490100000000000000000000
0x05e,94,0x0819eeb4,Kelaino,,14,Flight,21,86,78,4,7,11,5,10,4,10,51,10 04 03,086d1e19ffff9e06c7,291,bb1d08813822,18a 1c3 17d 1a7 01b,00008501cd01b305b406490100000000000000000000
0x05f,95,0x0819ef14,Ocypete,,14,Flight,16,62,39,4,4,6,4,12,5,10,67,10 01 08,6d467b1d47ff9e03c7,297,bb1605814021,183 186 1bf 1b3 19f 01b,00008501cd01b305b406490100000000000000000000
0x060,96,0x0819ef74,Bennu,,14,Flight,9,31,27,3,3,6,2,9,4,10,34,10 00 05,160e1f2bff31ff00c7,288,bb0d05814003,1b2 1cd 1a5,00008501cd01b305b406490100000000000000000000
0x061,97,0x0819efd4,Adept,,15,Messian,51,413,245,11,17,15,11,9,7,10,0,09 00 0c,14112a1c19ffff0119,230,1b0002901831,17b 1a0 1b0 1a1,00008b0b320b4d08c30f810f6d01840e240a00000000
0x062,98,0x0819f034,Terminator,,15,Messian,40,438,65,18,7,4,13,10,6,10,145,0d 00 08,8a8b4d4e97ffff06d3,121,1b0006001031,198 01b 1b8 1a6 17d 198 01b,0000760632060500dc0e6a0805004d0a9e09840e240a
0x063,99,0x0819f094,Gyrator,,15,Messian,34,160,134,7,14,12,6,7,6,10,33,05 00 08,0d0f4e5bffff9f01c9,230,1b0009502431,191 181 1c6 01b 198 01b,0000320b4e0805004d0a9e0900000000000000000000
0x064,100,0x0819f0f4,Temple Knight,,15,Messian,26,133,52,13,8,5,7,6,6,10,65,0e 00 09,0c188987ffffff07c7,28,1b0005304031,19f 1cd 1b0 1c5 1a3 17d 1a1,0000310ec30f05004d0a9e0900000000000000000000
0x065,101,0x0819f154,Executioner,,15,Messian,21,124,32,8,7,3,8,8,5,10,49,00 07 09,8e7e1890ffffff0ab7,18,1b0006002031,181 189 195 188 198 01b,0000310ec30f2701f40fd70800000000000000000000
0x066,102,0x0819f1b4,Neophyte,,15,Messian,15,44,40,4,7,8,4,5,5,10,81,00 00 05,00080418ffffff01b6,19,1b0009006031,1a6 183 1ae 17a 17d 1a1,0000310ec30f2701f40fd70800000000000000000000
0x067,103,0x0819f214,Butcher,,15,Messian,9,42,14,7,4,3,6,3,4,10,65,00 00 04,738effffffffff02ba,8,1b0006006031,1af 19c 19a 1bd 01b,0000310ec30f2701f40fd70800000000000000000000
0x068,104,0x0819f274,Yamata no Orochi,,16,Snake,53,762,222,13,10,14,17,10,8,127,130,13 0f 08,7f804dffffff9a0225,243,bb5d03f01812,1be 1b7 198 1a7 183 1c7 19a,0000d50d61086d019c07540a00000000000000000000
0x069,105,0x0819f2d4,Vritra,,16,Snake,48,607,185,18,11,12,11,10,6,127,18,05 01 07,090b1440ffffff06e7,294,bb5402e12011,1ce 1c4 1a1 1c3,0000320b4e0805004d0a9e0900000000000000000000
0x06a,106,0x0819f334,Raja Naga,,16,Snake,42,531,120,18,8,9,11,7,8,127,18,13 00 07,09255972ffffff05d7,56,bb4a05f03011,1a3 01b 185 005 1c3 191 1bd,0000d50d61086d019c07540a00000000000000000000
0x06b,107,0x0819f394,Otohime,,16,Snake,36,334,135,10,10,12,10,8,7,127,131,05 00 05,0a5944ffff36ff01c7,47,bb3f04e04020,183 1a1 1ab 1bb,0000320b4e0805004d0a9e0900000000000000000000
0x06c,108,0x0819f3f4,Mizuchi,,16,Snake,33,394,91,16,7,9,11,5,4,127,35,03 00 09,7d72597fffffff01c6,39,bb3a03d03203,1b8 193 19a,00006e0d61084601cf071f0100000000000000000000
0x06d,109,0x0819f454,Naga,,16,Snake,28,266,68,14,6,8,8,5,5,127,50,03 04 07,08832559ffffff04b7,31,bb3104d04000,1a3 01b 185,00006e0d61084601cf071f0100000000000000000000
0x06e,110,0x0819f4b4,Nozuchi,,16,Snake,19,165,29,10,4,5,9,5,5,127,66,00 00 09,7d7f7225ffffff00b7,219,bb2105d04003,1a7 193 19a,0000310ec30f2701f40fd70800000000000000000000
0x06f,111,0x0819f514,Hanuman,,17,Yoma,46,359,193,16,14,10,6,11,7,127,138,07 04 03,0d0f7388ff3bff08d4,66,bb4007c02011,1a8 1a5 1b7 01b 1cd,00006e0d61080500eb0a610800000000000000000000
0x070,112,0x0819f574,Ganesha,,17,Yoma,43,558,191,15,12,12,3,7,12,127,137,25 00 08,7f172d0d19ffff0ad1,299,bb3c08b13012,185 1a6 01b 190 1bd,0000310ec30f6d01f40fd70800000000000000000000
0x071,113,0x0819f5d4,Djinn,,17,Yoma,37,292,138,13,8,11,8,10,6,127,34,17 00 05,0d0f02ff993aff01c7,48,bb3404604012,191 1cd,00002c0f9b104601cf071f0100000000000000000000
0x072,114,0x0819f634,Tengu,,17,Yoma,31,186,113,10,9,10,6,10,5,127,50,1b 00 05,0e0f88ff993bff05c7,35,bb2b04904000,19f 1cd 189,0000dc0e6a08840e240a000000000000000000000000
0x073,115,0x0819f694,Haokah,,17,Yoma,27,149,94,10,8,10,5,8,5,127,42,22 00 03,090a450bffffff04b6,29,bb2605504000,1a8 183 184 01b,0000c30f810f4601cf071f0100000000000000000000
0x074,116,0x0819f6f4,Mercurius,,17,Yoma,14,60,40,6,7,7,5,6,2,127,16,05 00 08,0c185b57ffffff02b7,292,bb1409c14012,1bb 1c5 188 1c4 17f 192,0000320b4e0805004d0a9e0900000000000000000000
0x075,117,0x0819f754,Cerberus,,18,Beast,43,477,90,18,8,7,9,11,9,127,18,1c 00 04,684b49ffff37ff04d3,223,bb4102c02803,18a 1c5 1b2 1c7 192,0000760632069c07540a000000000000000000000000
0x076,118,0x0819f7b4,Gdon,,18,Beast,39,419,79,17,5,8,9,14,5,127,18,1d 00 0b,6d681bffffffff05c7,292,bb3b02914003,1a2 17e 1cd,00004d0a9e090500c30fcb1046013c0a2a0100000000
0x077,119,0x0819f814,Selket,,18,Beast,30,232,78,8,7,10,9,10,5,127,19,00 07 08,681d1f0f49ffff03c6,298,bb2d08814020,194 1c5 18a 1a1,0000310ec30f2701f40fd70800000000000000000000
0x078,120,0x0819f874,Orthrus,,18,Beast,26,198,42,11,4,6,7,9,7,127,34,00 00 05,686d485fffffff05b6,293,bb2705814003,183 1c5 1a1 1c7 192,0000310ec30f2701f40fd70800000000000000000000
