code	char	evidence
1148	闖	闖入者をスダマが観察 (★入者)
0AB4	償	無償の愛を捧げる (無★)
07CB	叫	死を悼んで泣き叫ぶ (泣き★ぶ)
0F6D	暮	一緒に暮らせて (★らせて)
0C28	遭	悪魔と遭遇する楽しみ (★遇)
108F	卵	人間の受精卵を研究所で (受精★)
0DFA	汝	我を滅ぼした今汝らには (★らには)
0D64	纏	虎の皮を纏い首には数珠 (★い)
114C	鉤	大きな鉤爪がついている (★爪)
10C0	猟	雷と狩猟の神 (狩★)
090C	膏	軟膏壺の婦人 (軟★壺)
11E6	衢	天之八衢 (天之八★)
0A78	獣	神獣バロン (神★)
101A	黙	ヨハネの黙示録 (★示録)
06C0	骸	骸骨を持つ者 (★骨)
114D	鍮	真鍮か青銅 (真★)
0CC4	蜘	土蜘蛛と書く (土★蛛)
