finding,addr,entry_or_via,glyphs,n,sample
interior-target,080382F8,08038300,,,センタービルより西に向かい{n}なさい{n}{WAIT}{PAGE}そこで男と出
interior-target,08038346,0803834E,,,センタービルの南{n}ファクトリーの最北端にある塔に{n}向かうのです{WAIT
interior-target,080383C0,080383C8,,,大教会で行うべき事があります{n}{WAIT}{PAGE}そなたはそこより先に{
interior-target,0803843C,08038444,,,センタービルの南{n}ファクトリーの最北端にある塔に{n}向かうのです{n}{W
interior-target,080384B2,080384BA,,,センタービルより西の地で{n}男を捜しなさい{n}{WAIT}{PAGE}男に会
interior-target,0803851E,08038526,,,センタービルへ向かいなさい{n}{WAIT}{PAGE}そこで会話と戦いが{n}
interior-target,0803857A,08038582,,,そなたは大いなる男共に{n}会うときが来たようです{n}{WAIT}{PAGE}
interior-target,08038616,0803861E,,,センタービルより西へ向かい{n}話を聞きなさい{n}{WAIT}{PAGE}大い
interior-target,08038678,08038686,,,日の射さぬ地に住む異形の翁が{n}見えます・・・{n}この者の苦しみを癒せば{n
interior-target,080387C0,08038722,,,そなたが欲しているもの・・・{n}{WAIT}{PAGE}複数あるのでしょうか・
interior-target,08038820,08038722,,,そなたが欲しているもの・・・{n}{WAIT}{PAGE}複数あるのでしょうか・
interior-target,0803882E,08038722,,,そなたが欲しているもの・・・{n}{WAIT}{PAGE}複数あるのでしょうか・
interior-target,08038880,08038722,,,そなたが欲しているもの・・・{n}{WAIT}{PAGE}複数あるのでしょうか・
interior-target,0803888E,08038722,,,そなたが欲しているもの・・・{n}{WAIT}{PAGE}複数あるのでしょうか・
interior-target,080388FA,08038722,,,そなたが欲しているもの・・・{n}{WAIT}{PAGE}複数あるのでしょうか・
interior-target,08038908,08038722,,,そなたが欲しているもの・・・{n}{WAIT}{PAGE}複数あるのでしょうか・
interior-target,08038946,08038722,,,そなたが欲しているもの・・・{n}{WAIT}{PAGE}複数あるのでしょうか・
interior-target,08038978,08038980,,,七つの柱は　それぞれに置くべき{n}場所が定められています{n}{WAIT}{P
interior-target,080389DC,080389E4,,,そなたには魔界でやる事が{n}あるようじゃが……{n}それ以上　わらわには{n}
interior-target,08038A38,08038A3A,,,2人の行く手は……{n}望み大なるも道険し{n}と出ています{WAIT}
interior-target,08038AA0,08038AB0,,,占い師：{n}そなたの迷い　悩みを{n}打ちはらい　正しき道へと{n}導いてしん
interior-target,08038AAE,08038AB0,,,占い師：{n}そなたの迷い　悩みを{n}打ちはらい　正しき道へと{n}導いてしん
interior-target,08038B8C,08038AB0,,,占い師：{n}そなたの迷い　悩みを{n}打ちはらい　正しき道へと{n}導いてしん
interior-target,08038BE8,08038BEA,,,迷い　悩みし時　来るがよい{WAIT}{=0a04}i
interior-target,08038C0C,08038C14,,,イェソドの地より先へ進むがよい{n}回廊で戦いが待っておろう{n}{WAIT}{
interior-target,08038C70,08038C78,,,ホドの街へと行くがよい{n}戦いが待っていようぞ{n}{WAIT}
interior-target,08038CAA,08038CB2,,,ネツァクの街へ行くがよい{n}出会いと戦いが待っていよう{n}{WAIT}{PA
interior-target,08038D08,08038D10,,,閉ざされた門を開ける手順は{n}ととのっておろう{n}{WAIT}
interior-target,08038D42,08038D4A,,,ティフェレトの街へ向かえ{n}{WAIT}{PAGE}そこの人の集まる場所が吉{
interior-target,08038D92,08038DAA,,,ティフェレトより先の回廊へと{n}進むがよい{n}{WAIT}{PAGE}戦いが
interior-target,08038DF0,08038DF8,,,ティフェレトの街の近くで{n}見るべき物がある・・・{n}{WAIT}
interior-target,08038E2E,08038E36,,,ティフェレトより先の回廊へ{n}進むがよい{n}{WAIT}{PAGE}街を飲み
interior-target,08038E86,08038E8E,,,ベリアー回廊を西に抜けよ{n}{WAIT}{PAGE}砦であまたのものが{n}そ
interior-target,08038F22,08038F2A,,,ビナーの近く・・・{n}{WAIT}{PAGE}入り江・・・{n}{WAIT}水
interior-target,08038FB4,08038FBC,,,ティフェレトの街の近くで{n}見るべき物がある・・・{n}{WAIT}
interior-target,08038FF2,08038FFA,,,ティフェレトより先の回廊へ{n}進むがよい{n}{WAIT}{PAGE}街を飲み
interior-target,0803904A,08039052,,,ベリアー回廊を西に抜けよ{n}{WAIT}{PAGE}砦であまたのものが{n}そ
interior-target,080390E6,080390EE,,,アティルト回廊の先に{n}そびえ立つ塔が見える・・・{n}{WAIT}
interior-target,0803914E,08039156,,,ティフェレトより先の回廊へと{n}進むがよい{n}{WAIT}{PAGE}戦いが
interior-target,0803919C,080391A4,,,ティフェレトの街の近くで{n}見るべき物がある・・・{n}{WAIT}
interior-target,080391DA,080391E2,,,ティフェレトより先の回廊へ{n}進むがよい{n}{WAIT}{PAGE}街を飲み
interior-target,08039232,0803923A,,,ベリアー回廊を西に抜けよ{n}{WAIT}{PAGE}砦であまたのものが{n}そ
interior-target,080392CE,080392D6,,,ビナーの近く・・・{n}{WAIT}{PAGE}入り江・・・{n}{WAIT}{
interior-target,0803932C,08039334,,,アティルト回廊の先に{n}そびえ立つ塔が見える・・・{n}{WAIT}
interior-target,0803936A,08039372,,,エデンで待っている男が{n}見える・・・{n}{WAIT}
interior-target,080393E4,080393B0,,,＞何も無い空間が{n}ひろがっている……{WAIT}{=0c03}▽<93E4>
interior-target,0803959C,0803959E,,,＞{ALEPH}は{n}”{=2103}”を使った{=0303}ћ{=5803}
interior-target,08039BAA,08039BAC,,,＞もう　魔界へは通じていない{WAIT}
interior-target,08039C98,08039BFA,,,ひさしぶりだね{n}{ALEPH}{n}ぼくだよ　{=2e03}だよ{WAIT}
interior-target,08039E20,08039BFA,,,ひさしぶりだね{n}{ALEPH}{n}ぼくだよ　{=2e03}だよ{WAIT}
interior-target,08039F04,08039ED2,,,{=2e03}：{n}ぼくの話を{n}もう一度聞くかい？{n}{=0e03}<9
interior-target,0803A17A,08039FE2,,,見たね……{WAIT}{PAGE}見てしまったね{n}ぼくの　このエリアの真の姿
interior-target,0803A204,0803A206,,,新救世主名は{n}{ALEPH}です{WAIT}{=1203}￥{=5303}K
interior-target,0803A3C8,0803A3D0,,,メシアがいないなら{n}おれが新しいメシアになって{n}やろうか{WAIT}{P
interior-target,0803A52A,0803A532,,,救世主が　いなくなった今{n}私はどうすればいいんだ{WAIT}
interior-target,0803A5A0,0803A5A8,,,…く　苦しい{n}一体　どうしたんだ？{n}どうすればいいんだ？{WAIT}
interior-target,0803A758,0803A760,,,私達が　平和に{n}くらせるのは　全て{WAIT}{PAGE}……………………様
interior-target,0803A82C,0803A834,,,……救世主よ……{n}お助け……下さい……{WAIT}
interior-target,0803A9BC,0803A9C4,,,救世主がいなければ{n}アルカディアの平和は{n}どうなってしまうのだ{WAIT
interior-target,0803AA32,0803AA3A,,,ついに……{n}我が身に　死が……{WAIT}
interior-target,0803AB9C,0803ABA4,,,ぼくらの救世主{n}{=2e03}様は{n}もういない…{WAIT}
interior-target,0803AE9C,0803AE7A,,,＞{=1f03}{=1e03}{n}が出た！{WAIT}{PAGE}{=2d03
interior-target,0803AED8,0803AE7A,,,＞{=1f03}{=1e03}{n}が出た！{WAIT}{PAGE}{=2d03
interior-target,0803AFE8,0803AF66,,,ストーカー：{n}治してやるぞ{n}HP　MP　ステータス{n}全員まとめて　ћ
interior-target,0803B00C,0803B00E,,,ћ　が無けりゃ　治さない{WAIT}{=0a04}i
interior-target,0803B22C,0803B07C,,,メシア教神父：{n}この地の　メシア教会再建に{n}御協力をお願いします{WAI
interior-target,0803B25A,0803B07C,,,メシア教神父：{n}この地の　メシア教会再建に{n}御協力をお願いします{WAI
interior-target,0803B3B4,0803B336,,,メシア教神父：{n}……ついに{n}教会が再建できました{WAIT}{PAGE}
interior-target,0803B3BA,0803B336,,,メシア教神父：{n}……ついに{n}教会が再建できました{WAIT}{PAGE}
interior-target,0803B3E6,0803B336,,,メシア教神父：{n}……ついに{n}教会が再建できました{WAIT}{PAGE}
interior-target,0803B474,0803B484,,,ストーカー：{n}変な生首拾った{n}不気味　売れない{WAIT}
interior-target,0803B568,0803B4B6,,,ストーカー：{n}なんだ？{n}この首　欲しいのか？{n}欲しいのか？{=0a0
interior-target,0803B588,0803B58A,,,…おまえ　ћ足りない{n}ћもって出直してこい{WAIT}{=0a04}i
interior-target,0803B5F6,0803B5F8,,,仕方無い{n}ћ10000　で売ってやる{=0e03}<B6D8>吟{=3603
interior-target,0803B656,0803B5F8,,,仕方無い{n}ћ10000　で売ってやる{=0e03}<B6D8>吟{=3603
interior-target,0803B68A,0803B68C,,,わかった　わかった{n}渡すから　武器　しまってくれ{WAIT}{=5303}々
interior-target,0803B6D8,0803B68C,,,わかった　わかった{n}渡すから　武器　しまってくれ{WAIT}{=5303}々
interior-target,0803BB0C,0803BB2E,,,どちらが飲みますか？{=4204}？<BB14>吟<BB84>吟{PAGE}よろ
interior-target,0803BB14,0803BB2E,,,どちらが飲みますか？{=4204}？<BB14>吟<BB84>吟{PAGE}よろ
interior-target,0803BB4E,0803BB2E,,,どちらが飲みますか？{=4204}？<BB14>吟<BB84>吟{PAGE}よろ
interior-target,0803BB76,0803BB2E,,,どちらが飲みますか？{=4204}？<BB14>吟<BB84>吟{PAGE}よろ
interior-target,0803BB84,0803BB2E,,,どちらが飲みますか？{=4204}？<BB14>吟<BB84>吟{PAGE}よろ
interior-target,0803BB94,0803BB2E,,,どちらが飲みますか？{=4204}？<BB14>吟<BB84>吟{PAGE}よろ
interior-target,0803BBB4,0803BB2E,,,どちらが飲みますか？{=4204}？<BB14>吟<BB84>吟{PAGE}よろ
interior-target,0803C5A0,0803C5A2,,,そういえば　ホーリータウンに{n}人が住み始めたみたいね{n}私　あんな所には　
interior-target,0803D0E2,0803D066,,,ブロンドの男：{n}やあ………{=1503}{n}君と　会うのは初めて……{=1
interior-target,0803D0F6,0803D066,,,ブロンドの男：{n}やあ………{=1503}{n}君と　会うのは初めて……{=1
interior-target,0803D57E,0803D502,,,ブロンドの男：{n}やあ………{=1503}{n}君と　会うのは初めて……{=1
interior-target,0803D592,0803D502,,,ブロンドの男：{n}やあ………{=1503}{n}君と　会うのは初めて……{=1
interior-target,0803DEDA,0803DE5E,,,ブロンドの男：{n}やあ………{=1503}{n}君と　会うのは初めて……{=1
interior-target,0803DEEE,0803DE5E,,,ブロンドの男：{n}やあ………{=1503}{n}君と　会うのは初めて……{=1
interior-target,0803E0EC,0803E05C,,,ブロンドの男：{n}やあ………{=1503}{n}君と　会うのは初めて……{=1
interior-target,0803F50C,0803F490,,,ブロンドの男：{n}やあ………{=1503}{n}君と　会うのは初めて……{=1
interior-target,0803F520,0803F490,,,ブロンドの男：{n}やあ………{=1503}{n}君と　会うのは初めて……{=1
interior-target,0803FB20,0803FA90,,,ブロンドの男：{n}やあ………{=1503}{n}君と　会うのは初めて……{=1
interior-target,0803FD16,0803FBE4,,,魔界の女：{n}東へ行くと　ベリアー回廊の入□{n}ケセドとゲブラーへ行けるわ{
interior-target,0803FEF4,0803FE64,,,ブロンドの男：{n}やあ………{=1503}{n}君と　会うのは初めて……{=1
interior-target,08040A12,08040A14,,,せっかく　タダで聞かせて{n}やろうと思ったのに……{WAIT}{=2b03}、
interior-target,08041648,0804165A,,,本当は　ここで魔界を豊かに{n}したいのですが……{n}今は　あなたに従います{
interior-target,080417DC,08041766,,,＞フーリーが　水あびを{n}している{WAIT}{PAGE}フーリーの{n}”{
interior-target,0804180E,08041766,,,＞フーリーが　水あびを{n}している{WAIT}{PAGE}フーリーの{n}”{
interior-target,08041A1C,08041766,,,＞フーリーが　水あびを{n}している{WAIT}{PAGE}フーリーの{n}”{
interior-target,08041A68,08041766,,,＞フーリーが　水あびを{n}している{WAIT}{PAGE}フーリーの{n}”{
interior-target,08041A8C,08041766,,,＞フーリーが　水あびを{n}している{WAIT}{PAGE}フーリーの{n}”{
interior-target,08041D9E,08041DA2,,,バニー：{n}いらっしゃい{n}ここは　キャッシャーよ{WAIT}{PAGE}{
interior-target,08041DD4,08041DA2,,,バニー：{n}いらっしゃい{n}ここは　キャッシャーよ{WAIT}{PAGE}{
interior-target,08041E02,08041E06,,,"いま　あなたの{=0c03},<1E2A>銀{=0c03} <1E38>銀{=0"
interior-target,08041E2A,08041E06,,,"いま　あなたの{=0c03},<1E2A>銀{=0c03} <1E38>銀{=0"
interior-target,08041E38,08041E06,,,"いま　あなたの{=0c03},<1E2A>銀{=0c03} <1E38>銀{=0"
interior-target,08041E3E,08041E06,,,"いま　あなたの{=0c03},<1E2A>銀{=0c03} <1E38>銀{=0"
interior-target,08041E76,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08041EC8,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08041ECA,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08041EF2,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08041F00,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08041F06,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08041F96,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08041FA4,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08041FAA,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08041FE2,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08042014,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,0804201A,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,0804203A,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08042056,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08042086,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08042098,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,080420EC,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08042126,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,08042164,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,0804216E,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,080421A0,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,080422BC,08041E78,,,カジノでは　コインを使うのよ{n}あなたの持ってる{n}お金ћ{=0c03}<0
interior-target,080422EA,080422EE,,,どのマシンにするの？{n}{=1303}{=0304}§<232C>銀☆<235
interior-target,080423D0,080423E8,,,スーパー27は{n}1ゲーム　1コイン{WAIT}{PAGE}このスロットには{
interior-target,080423DA,080423E8,,,スーパー27は{n}1ゲーム　1コイン{WAIT}{PAGE}このスロットには{
interior-target,080423E4,080423E8,,,スーパー27は{n}1ゲーム　1コイン{WAIT}{PAGE}このスロットには{
interior-target,080427D0,080423E8,,,スーパー27は{n}1ゲーム　1コイン{WAIT}{PAGE}このスロットには{
interior-target,080428DC,08042846,,,バニー：{n}いらっしゃいませ！{n}ピッカピッカの{n}ニューマシンよ{WAI
interior-target,0804290E,08042912,,,お好きなマシンで　どーぞ{=1303}{=0304}§<2952>銀☆<2980
interior-target,080429F6,08042A0E,,,ラッキーシンボルは{n}1ゲーム　1コイン{WAIT}{PAGE}このスロットは
interior-target,08042A00,08042A0E,,,ラッキーシンボルは{n}1ゲーム　1コイン{WAIT}{PAGE}このスロットは
interior-target,08042A0A,08042A0E,,,ラッキーシンボルは{n}1ゲーム　1コイン{WAIT}{PAGE}このスロットは
interior-target,08042E0E,08042A0E,,,ラッキーシンボルは{n}1ゲーム　1コイン{WAIT}{PAGE}このスロットは
interior-target,08042F14,08042E7A,,,シビル：{n}いらっしゃいませ{n}どうぞ　たっぷりと{n}お楽しみ下さい{WA
interior-target,08042F4C,08042F50,,,どのマシンに　いたしますか？{n}{=1303}{=0304}§<2F96>銀☆
interior-target,08042FE0,08043008,,,ジョーカーアンドスターズは{n}1ゲーム　1から8コインの{n}9リール　8ライ
interior-target,08042FEA,08043008,,,ジョーカーアンドスターズは{n}1ゲーム　1から8コインの{n}9リール　8ライ
interior-target,08042FFC,08043008,,,ジョーカーアンドスターズは{n}1ゲーム　1から8コインの{n}9リール　8ライ
interior-target,08043006,08043008,,,ジョーカーアンドスターズは{n}1ゲーム　1から8コインの{n}9リール　8ライ
interior-target,08043534,08043008,,,ジョーカーアンドスターズは{n}1ゲーム　1から8コインの{n}9リール　8ライ
interior-target,0804361C,080435A6,,,ローリー：{n}イェーイ！　キノだぜぇーい{n}きのうやってもキノ{n}今日やっ
interior-target,08043654,08043662,,,KENOは{n}1から64の数の中から{n}1プレイで16の数が{n}選ばれるの
interior-target,0804365E,08043662,,,KENOは{n}1から64の数の中から{n}1プレイで16の数が{n}選ばれるの
interior-target,08043A4A,08043662,,,KENOは{n}1から64の数の中から{n}1プレイで16の数が{n}選ばれるの
interior-target,08043B12,08043AAE,,,ディーラー：{n}KING　OF　GAME{n}バカラで　ございます{WAIT}
interior-target,08043B44,08043B52,,,バカラで使うカードは{n}A・2から10・J・Q・Kの{n}13種類です{WAI
interior-target,08043B4E,08043B52,,,バカラで使うカードは{n}A・2から10・J・Q・Kの{n}13種類です{WAI
interior-target,080440F6,08043B52,,,バカラで使うカードは{n}A・2から10・J・Q・Kの{n}13種類です{WAI
interior-target,080441B6,0804414E,,,ハンターひろし：{n}お待ちしておりました{WAIT}{PAGE}ビッグ　アンド
interior-target,080441EE,080441F2,,,ルールは　かんたん{n}1プレイ10コイン{WAIT}{PAGE}0から9のうち
interior-target,08044378,080441F2,,,ルールは　かんたん{n}1プレイ10コイン{WAIT}{PAGE}0から9のうち
interior-target,08044496,080443D4,,,ナンディさん：{n}ナマステ！　ワタシ{n}インドから来た　ナンディさんネ{WA
interior-target,080444CA,080444DC,,,1回　1{=2103}ネ{n}ナンディさん　1から{n}5まで3けたの数{n}A
interior-target,080444DA,080444DC,,,1回　1{=2103}ネ{n}ナンディさん　1から{n}5まで3けたの数{n}A
interior-target,080446DE,080444DC,,,1回　1{=2103}ネ{n}ナンディさん　1から{n}5まで3けたの数{n}A
interior-target,080447DC,0804471A,,,ナンディさん：{n}ナマステ！　ワタシ{n}インドから来た{n}ナンディさんネ{
interior-target,08044810,08044822,,,1回　1{=2103}ネ{n}ナンディさん　1から{n}7まで4けたの数{n}A
interior-target,08044820,08044822,,,1回　1{=2103}ネ{n}ナンディさん　1から{n}7まで4けたの数{n}A
interior-target,08044A24,08044822,,,1回　1{=2103}ネ{n}ナンディさん　1から{n}7まで4けたの数{n}A
interior-target,08044B22,08044A60,,,ナンディさん：{n}ナマステ！　ワタシ{n}インドから来た{n}ナンディさんネ{
interior-target,08044B56,08044B68,,,1回　1{=2103}ネ{n}ナンディさん　1から{n}8まで5けたの数{n}A
interior-target,08044B66,08044B68,,,1回　1{=2103}ネ{n}ナンディさん　1から{n}8まで5けたの数{n}A
interior-target,08044D6A,08044B68,,,1回　1{=2103}ネ{n}ナンディさん　1から{n}8まで5けたの数{n}A
interior-target,08044E68,08044DA6,,,ナンディさん：{n}ナマステ！　ワタシ{n}インドから来た{n}ナンディさんネ{
interior-target,08044E9E,08044EB0,,,1回　1{=2103}ネ{n}ナンディさん　1から{n}8まで5けたの数{n}A
interior-target,08044EAE,08044EB0,,,1回　1{=2103}ネ{n}ナンディさん　1から{n}8まで5けたの数{n}A
interior-target,080450B2,08044EB0,,,1回　1{=2103}ネ{n}ナンディさん　1から{n}8まで5けたの数{n}A
interior-target,080450DE,08044EB0,,,1回　1{=2103}ネ{n}ナンディさん　1から{n}8まで5けたの数{n}A
interior-target,08045236,0804523C,,,センター司教：{n}2人そろって来ましたね{n}2人とも帰ってきたと{n}言うべ
interior-target,08045D10,08045A9A,,,センター司教：{n}{ALEPH}よ{n}{=0c03}<0016><5D10>
interior-target,0804651A,08046434,,,大友アキラ：{n}いやあ　はっはっはっ{WAIT}{PAGE}ヴァルハラで　命を
interior-target,0804661A,080465A8,,,研究員：{n}ここでは　市民が身を守るための{n}武器を　研究開発しています{W
interior-target,080466D4,080466DC,,,”{=2103}”ですか{n}これは…{n}{WAIT}{PAGE}プラズマソー
interior-target,08046750,080466DC,,,”{=2103}”ですか{n}これは…{n}{WAIT}{PAGE}プラズマソー
interior-target,080467C8,080466DC,,,”{=2103}”ですか{n}これは…{n}{WAIT}{PAGE}プラズマソー
interior-target,08046844,080466DC,,,”{=2103}”ですか{n}これは…{n}{WAIT}{PAGE}プラズマソー
interior-target,080468C0,080466DC,,,”{=2103}”ですか{n}これは…{n}{WAIT}{PAGE}プラズマソー
interior-target,08046CB8,08046C26,,,コロシアムの男：{n}よお　岡本{WAIT}{PAGE}おまえん所の戦士{n}{
interior-target,08047052,08046FD0,,,コロシアムの男：{n}やって来たか{n}チャンピオン{WAIT}{PAGE}あん
interior-target,08047068,08046FD0,,,コロシアムの男：{n}やって来たか{n}チャンピオン{WAIT}{PAGE}あん
interior-target,08047782,08047518,,,{=1e03}：{n}きさまが……{WAIT}{=0804}<000A>{=2b
interior-target,08047BF4,08047518,,,{=1e03}：{n}きさまが……{WAIT}{=0804}<000A>{=2b
interior-target,08047C36,08047518,,,{=1e03}：{n}きさまが……{WAIT}{=0804}<000A>{=2b
interior-target,08047C7C,08047518,,,{=1e03}：{n}きさまが……{WAIT}{=0804}<000A>{=2b
interior-target,0804861E,080485B4,,,TONY：{n}ハーイ！　ノってるかーい！{WAIT}{PAGE}OK！　OK！
interior-target,08048772,08048774,,,OK！　OK！{n}また　来てくれよナ{n}BYE　BYE！{WAIT}
interior-target,080487AC,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048802,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048842,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048882,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,080488C2,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048902,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048942,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048982,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,080489C2,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048A02,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048A42,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048A82,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048AC2,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048B02,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048B42,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048B82,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048BC2,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048C02,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048C42,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,08048C82,080487B0,,,OK！　OK！{n}ネクスト　ミュージックに{n}LET’S　GO！　OK！？{
interior-target,0804955E,08049560,,,エントリーナンバー……{n}{=2d03}
interior-target,08049618,08049622,,,飛び入りで　参加してくれた{n}彼だ！{n}おめでとう！{WAIT}{PAGE}
