addr,nrefs,ref_sites,frac,glyphs,sample
086BE5D2,1,080E5E84,0.91,11,□‖［【どうしますか？
086BEC18,1,080E98B4,1.0,6,悪魔を倒した
087903B8,1,08135288,0.86,7,"cェ□ぱヲ跋,"
087903BE,1,0813528C,1.0,4,"ぱヲ跋,"
087EF03C,1,081574F4,0.87,15,￣・cぅ□□〜・：;？硬而場叢
087F1DC0,1,087F28BC,1.0,8,　　　金子　一馬
087F1E60,1,087F28EC,1.0,8,　　　副島　成記
087F1EB0,1,087F2904,0.88,8,　　　土屋　□一
087F1F00,1,087F291C,1.0,8,　　　澤野　永明
087F1F28,1,087F2924,1.0,8,　　　平岡　直人
087F1F78,1,087F293C,0.93,15,　　　佐々木　信□　赤木　健治
087F1FA0,1,087F2944,0.87,15,　　　橋本　直□　　谷岡　秀□
087F1FC8,1,087F294C,0.93,15,　　　斉□　正和　　阿部　隆光
087F2018,1,087F2964,0.93,15,　　　□儀　和美　　大高　明美
087F2040,1,087F296C,1.0,16,　　　皆川　真佐枝　吉田　真理子
087F2068,1,087F2974,1.0,7,　　　丸山　結
087F20B8,1,087F298C,0.93,15,　　　蔵前　喜章　　後□　信二
087F20E0,1,087F2994,1.0,7,　　　山□　寛
087F2130,1,087F29AC,0.93,14,　　　浜田　智之　　□木　学
087F21D0,1,087F29DC,1.0,15,　　　永島　政男　　石井　史人
087F21F8,1,087F29E4,0.88,8,　　　相河　□介
087F2248,1,087F29FC,0.88,8,　　　小□　尚司
087F2298,1,087F2A14,0.93,14,　　　飯塚　英一郎　小池　□
087F22C0,1,087F2A1C,1.0,8,　　　一宮　正人
087F2310,1,087F2A34,0.93,15,　　　島村　大三　　山尾　和□
087F2338,1,087F2A3C,0.94,16,　　　村田　□太郎　田部井　緑子
087F2388,1,087F2A54,0.93,15,　　　小□　雅史　　山本　幸司
087F23B0,1,087F2A5C,0.87,15,　　　長谷川　大介　小□　□夫
087F23D8,1,087F2A64,0.87,15,　　　西　誠　　　　小林　□□
087F2450,1,087F2A84,1.0,15,　　　青山　英治　　島田　良尚
087F2478,1,087F2A8C,1.0,14,　　　石塚　路志人　白石　恵
087F24A0,1,087F2A9C,1.0,15,　　　安部　隆光　　田島　美香
087F24C8,1,087F2AA4,1.0,15,　　　井澤　孝文　　千葉　里枝
087F24F0,1,087F2AB4,0.93,15,　　　（□）エーワン・オフィス
087F2590,1,087F2AD4,1.0,12,　　　「真・女神転生II」
087F26F8,1,087F2B44,0.88,8,　　　後□　信二
087F2748,1,087F2B5C,1.0,15,　　　副島　成記　　蔵前　喜章
087F2798,1,087F2B74,0.93,15,　　　土屋　□一　　浜田　智之
087F27C0,1,087F2B7C,0.86,7,　　　□木　学
087F2810,1,087F2B94,1.0,8,　　　岡田　耕治
087F2860,1,087F2BAC,0.88,8,　　　原野　直□
